SEGMENT,PRODUCT_KEY,COST_CENTER,REVENUE_VALUE
10202,102020008,1J10410,76.15
10202,102020008,1J10410,163.65
10202,102020008,1J10410,290.0
10202,102020008,1J30120,15.8
10202,102020008,1J10134,460.95
20403,204030004,1J10130,151.54
20403,204030004,1J10130,1426.21
10202,102020008,1J10134,86.61
10202,102020008,1J50101,331.29
20403,204030004,1J50201,56.07
20403,204030004,1J50201,83.34
20403,204030004,1J50201,69.93
10202,102020008,1J10130,67.74
10202,102020008,1J10130,110.0
10202,102020008,1J10410,76.13
10202,102020008,1J10410,52.0
10202,102020008,1J10410,150.97
10202,102020008,1J10410,284.51
10202,102020008,1J10130,56.45
10202,102020008,1J00308,133.21
10202,102020017,1J40102,318.39
20203,202030002,1J50211,1275.0
20203,202030002,1J50211,600.0
10401,104010021,1J10408,800.0
10401,104010021,1J10408,800.0
